4,3,3,3,3,4,3,4,4,4,4,3,3,3,0,8,0.007846501,1,본찌
4,3,4,3,4,4,4,5,5,4,5,2,2,2,0,8,0.007846501,1,본찌
4,3,3,4,4,4,3,3,3,4,3,3,3,4,0,8,0.007846501,1,본찌
3,3,3,3,4,3,3,4,3,4,4,3,2,1,0,8,0.007846501,1,본찌
4,4,3,4,4,4,5,4,3,3,4,3,4,4,0,8,0.007846501,1,본찌
4,3,5,4,4,3,3,5,4,4,4,5,3,3,0,8,0.007846501,1,본찌
4,4,5,3,5,4,5,4,5,4,5,2,2,2,0,8,0.007846501,1,본찌
4,3,4,3,4,4,3,5,5,4,3,4,3,4,0,8,0.007846501,1,본찌
4,3,5,5,3,4,4,5,5,4,3,4,2,2,0,8,0.007846501,1,본찌
4,4,4,3,5,3,2,5,5,3,5,1,4,2,0,8,0.007846501,1,본찌
5,4,4,5,4,2,4,4,3,2,4,2,3,4,0,8,0.007846501,1,본찌
3,4,5,4,4,3,4,5,4,3,4,5,3,3,0,8,0.007846501,1,본찌
3,4,3,1,3,4,4,5,5,2,3,1,3,3,0,2,0.00233287,4,유가네
4,3,3,3,3,4,3,4,4,4,4,3,3,3,0,2,0.00233287,4,유가네
5,4,5,5,3,3,4,5,5,3,5,4,2,2,0,2,0.00233287,4,유가네
5,4,4,4,4,2,5,3,3,3,3,1,4,3,0,2,0.00233287,4,유가네
4,3,3,4,4,4,3,3,3,4,3,3,3,4,0,2,0.00233287,4,유가네
4,4,4,4,4,4,3,4,4,4,4,4,3,4,0,2,0.00233287,4,유가네
5,4,4,4,3,4,4,5,2,5,5,5,5,4,0,2,0.00233287,4,유가네
5,3,4,5,4,3,3,5,3,3,4,3,2,3,0,2,0.00233287,4,유가네
4,4,5,3,4,5,4,5,4,3,4,5,3,2,0,2,0.00233287,4,유가네
5,5,4,5,5,5,5,5,5,3,5,5,4,4,0,2,0.00233287,4,유가네
4,3,4,3,4,4,3,5,5,4,3,4,3,4,0,2,0.00233287,4,유가네
5,4,4,3,5,3,5,2,5,5,4,5,3,4,0,2,0.00233287,4,유가네
4,3,5,5,3,4,4,5,5,4,3,4,2,2,0,2,0.00233287,4,유가네
4,4,4,3,5,3,2,5,5,3,5,1,4,2,0,2,0.00233287,4,유가네
5,4,5,3,4,3,4,4,4,3,4,5,4,4,0,2,0.00233287,4,유가네
3,4,3,1,3,4,4,5,5,2,3,1,3,3,1,15,0.003324555,0,노랑통닭
4,3,3,3,3,4,3,4,4,4,4,3,3,3,1,15,0.003324555,0,노랑통닭
4,3,4,3,4,4,4,5,5,4,5,2,2,2,1,15,0.003324555,0,노랑통닭
5,4,4,4,3,4,4,5,2,5,5,5,5,4,1,15,0.003324555,0,노랑통닭
4,4,3,4,4,4,5,4,3,3,4,3,4,4,1,15,0.003324555,0,노랑통닭
4,4,5,3,5,4,5,4,5,4,5,2,2,2,1,15,0.003324555,0,노랑통닭
5,5,4,5,5,5,5,5,5,3,5,5,4,4,1,15,0.003324555,0,노랑통닭
4,3,4,3,4,4,3,5,5,4,3,4,3,4,1,15,0.003324555,0,노랑통닭
4,4,4,3,5,3,2,5,5,3,5,1,4,2,1,15,0.003324555,0,노랑통닭
3,4,3,1,3,4,4,5,5,2,3,1,3,3,2,10,0.004978496,1,예국향
4,3,3,3,3,4,3,4,4,4,4,3,3,3,2,10,0.004978496,1,예국향
4,3,4,3,4,4,4,5,5,4,5,2,2,2,2,10,0.004978496,1,예국향
5,4,4,4,4,2,5,3,3,3,3,1,4,3,2,10,0.004978496,1,예국향
4,3,3,4,4,4,3,3,3,4,3,3,3,4,2,10,0.004978496,1,예국향
3,3,3,3,4,3,3,4,3,4,4,3,2,1,2,10,0.004978496,1,예국향
4,4,4,4,4,4,3,4,4,4,4,4,3,4,2,10,0.004978496,1,예국향
5,4,4,4,3,4,4,5,2,5,5,5,5,4,2,10,0.004978496,1,예국향
5,4,3,5,4,3,4,4,3,4,3,4,2,4,2,10,0.004978496,1,예국향
5,3,4,5,4,3,3,5,3,3,4,3,2,3,2,10,0.004978496,1,예국향
4,3,5,4,4,3,3,5,4,4,4,5,3,3,2,10,0.004978496,1,예국향
4,4,5,3,4,5,4,5,4,3,4,5,3,2,2,10,0.004978496,1,예국향
5,5,4,5,5,5,5,5,5,3,5,5,4,4,2,10,0.004978496,1,예국향
5,4,4,3,5,3,5,2,5,5,4,5,3,4,2,10,0.004978496,1,예국향
4,3,5,5,3,4,4,5,5,4,3,4,2,2,2,10,0.004978496,1,예국향
4,4,4,3,5,3,2,5,5,3,5,1,4,2,2,10,0.004978496,1,예국향
5,4,5,3,4,3,4,4,4,3,4,5,4,4,2,10,0.004978496,1,예국향
5,4,4,5,4,2,4,4,3,2,4,2,3,4,2,10,0.004978496,1,예국향
3,4,5,4,4,3,4,5,4,3,4,5,3,3,2,10,0.004978496,1,예국향
4,4,3,4,4,4,5,4,3,3,4,3,4,4,3,10,0.002337762,4,사랑해횟집
5,4,3,5,4,3,4,4,3,4,3,4,2,4,3,10,0.002337762,4,사랑해횟집
4,3,4,3,4,4,3,5,5,4,3,4,3,4,3,10,0.002337762,4,사랑해횟집
4,4,4,3,5,3,2,5,5,3,5,1,4,2,3,10,0.002337762,4,사랑해횟집
3,4,5,4,4,3,4,5,4,3,4,5,3,3,3,10,0.002337762,4,사랑해횟집
3,4,3,1,3,4,4,5,5,2,3,1,3,3,0,0,0.00539377,3,꾸이꾸이 돼지마을
4,3,3,3,3,4,3,4,4,4,4,3,3,3,0,0,0.00539377,3,꾸이꾸이 돼지마을
